County,State,INflow,OUTflow,NET in,GROSS out
Hodgeman County,Kansas,92.0,149.0,-57.0,241.0
Hoke County,North Carolina,6145.0,4558.0,1166.0,10282.0
Holmes County,Florida,4260.0,3854.0,386.0,8094.0
Holt County,Missouri,664.0,1010.0,-383.0,1637.0
Honolulu County,Hawaii,52756.0,56164.0,-14611.0,97717.0
Hood County,Texas,5721.0,3804.0,1781.0,9389.0
Hood River County,Oregon,1202.0,1878.0,-866.0,2890.0
Hooker County,Nebraska,88.0,22.0,66.0,110.0
Hoonah-Angoon Census Area,Alaska,193.0,133.0,60.0,326.0
Hopewell City,Virginia,2098.0,1860.0,230.0,3950.0
Hopkins County,Kentucky,3664.0,4549.0,-941.0,8157.0
Hormigueros Municipio,Puerto Rico,606.0,661.0,-67.0,1255.0
Horry County,South Carolina,19250.0,16856.0,1776.0,35488.0
Hot Spring County,Arkansas,2174.0,1944.0,208.0,4096.0
Hot Springs County,Wyoming,306.0,668.0,-375.0,961.0
Houghton County,Michigan,3323.0,2142.0,850.0,5134.0
Houston County,Alabama,18123.0,20144.0,-3070.0,37218.0
Howard County,Arkansas,33259.0,32729.0,-2804.0,62654.0
Howell County,Missouri,1747.0,2119.0,-406.0,3832.0
Hubbard County,Minnesota,1598.0,1288.0,278.0,2854.0
Hudson County,New Jersey,39882.0,46900.0,-16387.0,77413.0
Hudspeth County,Texas,1133.0,143.0,282.0,568.0
Huerfano County,Colorado,445.0,408.0,37.0,853.0
Hughes County,Oklahoma,2807.0,3528.0,-735.0,6321.0
Humacao Municipio,Puerto Rico,1556.0,2436.0,-1055.0,3817.0
Humboldt County,California,10976.0,9013.0,1684.0,19710.0
Humphreys County,Mississippi,1358.0,1244.0,72.0,2560.0
Hunt County,Texas,8042.0,5585.0,2017.0,13187.0
Hunterdon County,New Jersey,6617.0,7279.0,-1007.0,13551.0
Huntingdon County,Pennsylvania,2376.0,2354.0,-37.0,4671.0
Huntington County,Indiana,2123.0,2123.0,-49.0,4197.0
Huron County,Michigan,3801.0,5040.0,-1436.0,8644.0
Hutchinson County,South Dakota,1480.0,2675.0,-1196.0,4154.0
Hyde County,North Carolina,441.0,278.0,163.0,719.0
Iberia Parish,Louisiana,2749.0,3427.0,-715.0,6139.0
Iberville Parish,Louisiana,3163.0,2226.0,920.0,5372.0
Ida County,Iowa,325.0,333.0,-11.0,655.0
Idaho County,Idaho,1456.0,1250.0,193.0,2693.0
Imperial County,California,6021.0,7172.0,-2763.0,11581.0
Independence County,Arkansas,2005.0,2097.0,-141.0,4053.0
Indian River County,Florida,11870.0,7126.0,3527.0,17779.0
Indiana County,Pennsylvania,8109.0,3565.0,4233.0,11363.0
Ingham County,Michigan,31231.0,20827.0,8132.0,49786.0
Inyo County,California,1250.0,2212.0,-968.0,3456.0
Ionia County,Michigan,3867.0,4512.0,-695.0,8329.0
Iosco County,Michigan,1564.0,1584.0,-51.0,3117.0
Iowa County,Iowa,1921.0,2413.0,-544.0,4282.0
Iredell County,North Carolina,11939.0,8379.0,2955.0,19713.0
Irion County,Texas,248.0,42.0,206.0,290.0
Iron County,Michigan,6361.0,5009.0,1189.0,11207.0
Iroquois County,Illinois,1279.0,1402.0,-177.0,2627.0
Irwin County,Georgia,594.0,765.0,-194.0,1336.0
Isabela Municipio,Puerto Rico,459.0,1430.0,-1008.0,1852.0
Isabella County,Michigan,9720.0,5352.0,3910.0,14614.0
Isanti County,Minnesota,3025.0,2640.0,374.0,5654.0
Island County,Washington,7595.0,7870.0,-855.0,14885.0
Isle of Wight County,Virginia,2735.0,3050.0,-662.0,5438.0
Issaquena County,Mississippi,201.0,103.0,98.0,304.0
Itasca County,Minnesota,1663.0,2368.0,-758.0,3978.0
Itawamba County,Mississippi,1265.0,1412.0,-147.0,2677.0
Izard County,Arkansas,939.0,1242.0,-303.0,2181.0
Jack County,Texas,1247.0,609.0,509.0,1727.0
Jackson County,Alabama,105044.0,105137.0,-5503.0,204771.0
Jackson Parish,Louisiana,1097.0,1014.0,54.0,2082.0
James City County,Virginia,6763.0,6140.0,-47.0,12233.0
Jasper County,Georgia,17462.0,16356.0,672.0,33384.0
Jay County,Indiana,1220.0,1093.0,83.0,2269.0
Jayuya Municipio,Puerto Rico,92.0,834.0,-746.0,922.0
Jeff Davis County,Georgia,1065.0,909.0,156.0,1974.0
Jefferson County,Alabama,200796.0,191323.0,-2882.0,379764.0
Jefferson Davis County,Mississippi,522.0,600.0,-179.0,1021.0
Jefferson Davis Parish,Louisiana,1509.0,1037.0,465.0,2539.0
Jefferson Parish,Louisiana,20936.0,20602.0,-2461.0,38743.0
Jenkins County,Georgia,424.0,565.0,-173.0,957.0
Jennings County,Indiana,1609.0,1376.0,159.0,2911.0
Jerauld County,South Dakota,113.0,145.0,-32.0,258.0
Jerome County,Idaho,1852.0,1431.0,392.0,3254.0
Jersey County,Illinois,1643.0,909.0,663.0,2481.0
Jessamine County,Kentucky,4090.0,4287.0,-384.0,8190.0
Jewell County,Kansas,107.0,64.0,40.0,168.0
Jim Hogg County,Texas,312.0,265.0,47.0,577.0
Jim Wells County,Texas,1632.0,2682.0,-1162.0,4202.0
Jo Daviess County,Illinois,998.0,1459.0,-471.0,2447.0
Johnson County,Arkansas,92222.0,81577.0,4931.0,168085.0
Johnston County,North Carolina,14203.0,12016.0,1776.0,25808.0
Jones County,Georgia,9018.0,8695.0,283.0,17673.0
Josephine County,Oregon,5574.0,5151.0,321.0,10623.0
Juab County,Utah,989.0,748.0,233.0,1729.0
Juana Díaz Municipio,Puerto Rico,1822.0,1915.0,-119.0,3711.0
Judith Basin County,Montana,68.0,139.0,-75.0,203.0
Juncos Municipio,Puerto Rico,751.0,1934.0,-1218.0,2650.0
Juneau City and Borough,Alaska,2206.0,2369.0,-452.0,4286.0
Juneau County,Wisconsin,1908.0,1457.0,421.0,3335.0
Juniata County,Pennsylvania,1018.0,918.0,72.0,1908.0
Kalamazoo County,Michigan,19881.0,16466.0,1652.0,34584.0
Kalawao County,Hawaii,6.0,7.0,-2.0,12.0
Kalkaska County,Michigan,1189.0,1239.0,-77.0,2401.0
Kanabec County,Minnesota,751.0,888.0,-171.0,1605.0
Kanawha County,West Virginia,6615.0,7674.0,-1332.0,14016.0
Kandiyohi County,Minnesota,2057.0,2295.0,-372.0,4218.0
Kane County,Illinois,33231.0,28818.0,2746.0,60382.0
Kankakee County,Illinois,4315.0,6393.0,-2183.0,10603.0
Karnes County,Texas,1869.0,1126.0,-124.0,2128.0
Kauai County,Hawaii,4056.0,2621.0,659.0,5901.0
Kaufman County,Texas,12643.0,8279.0,4073.0,20631.0
Kay County,Oklahoma,3357.0,2575.0,697.0,5847.0
Kearney County,Nebraska,241.0,422.0,-182.0,662.0
Kearny County,Kansas,253.0,536.0,-283.0,789.0
Keith County,Nebraska,527.0,617.0,-100.0,1134.0
Kemper County,Mississippi,869.0,562.0,299.0,1423.0
Kenai Peninsula Borough,Alaska,3703.0,3521.0,42.0,7084.0
Kendall County,Illinois,13655.0,12602.0,132.0,25336.0
Kenedy County,Texas,1.0,32.0,-31.0,33.0
Kennebec County,Maine,6923.0,5674.0,960.0,12308.0
Kenosha County,Wisconsin,10273.0,9427.0,450.0,19304.0
Kent County,Delaware,56967.0,52031.0,1639.0,105701.0
Kenton County,Kentucky,12805.0,11912.0,288.0,24112.0
Keokuk County,Iowa,723.0,655.0,57.0,1367.0
Kern County,California,41076.0,35742.0,1851.0,73335.0
Kerr County,Texas,3674.0,2793.0,800.0,6386.0
Kershaw County,South Carolina,3418.0,3252.0,31.0,6535.0
Ketchikan Gateway Borough,Alaska,935.0,1259.0,-404.0,2114.0
Kewaunee County,Wisconsin,879.0,933.0,-84.0,1782.0
Keweenaw County,Michigan,218.0,247.0,-34.0,460.0
Keya Paha County,Nebraska,26.0,4.0,22.0,30.0
Kidder County,North Dakota,301.0,146.0,149.0,441.0
Kimball County,Nebraska,348.0,173.0,159.0,505.0
Kimble County,Texas,411.0,484.0,-79.0,889.0
King County,Texas,152834.0,127326.0,-6542.0,248110.0
King George County,Virginia,2678.0,2441.0,113.0,4995.0
King William County,Virginia,777.0,855.0,-110.0,1600.0
King and Queen County,Virginia,417.0,576.0,-159.0,993.0
Kingfisher County,Oklahoma,506.0,455.0,-14.0,896.0
Kingman County,Kansas,384.0,668.0,-288.0,1048.0
Kings County,California,104572.0,152534.0,-67101.0,237967.0
Kingsbury County,South Dakota,350.0,226.0,117.0,569.0
Kinney County,Texas,178.0,156.0,-62.0,250.0
Kiowa County,Colorado,709.0,1213.0,-528.0,1898.0
Kit Carson County,Colorado,667.0,477.0,134.0,1088.0
Kitsap County,Washington,22973.0,19799.0,2251.0,41849.0
Kittitas County,Washington,7787.0,3253.0,4330.0,10836.0
Kittson County,Minnesota,268.0,201.0,38.0,440.0
Klamath County,Oregon,4979.0,4312.0,530.0,9154.0
Kleberg County,Texas,2791.0,2993.0,-438.0,5548.0
Klickitat County,Washington,1605.0,1519.0,-149.0,2889.0
Knott County,Kentucky,1168.0,790.0,345.0,1925.0
Knox County,Illinois,47274.0,35322.0,9720.0,80364.0
Kodiak Island Borough,Alaska,1653.0,1702.0,-260.0,3144.0
Koochiching County,Minnesota,646.0,432.0,195.0,1059.0
Kootenai County,Idaho,10513.0,8546.0,1690.0,18782.0
Kosciusko County,Indiana,5409.0,4090.0,1079.0,9259.0
Kossuth County,Iowa,787.0,1004.0,-238.0,1770.0
Kusilvak Census Area,Alaska,143.0,363.0,-220.0,506.0
La Crosse County,Wisconsin,8754.0,7176.0,1396.0,15748.0
La Paz County,Arizona,1620.0,1066.0,256.0,2388.0
La Plata County,Colorado,4290.0,3251.0,945.0,7447.0
La Salle County,Texas,620.0,419.0,-21.0,817.0
LaGrange County,Indiana,2091.0,1896.0,180.0,3972.0
LaMoure County,North Dakota,184.0,189.0,-11.0,367.0
LaPorte County,Indiana,8153.0,6135.0,1941.0,14211.0
