County,State,crime_rate_per_100000,INflow,OUTflow,NET in,GROSS out
irion county,tx,124.0694789,248.0,42.0,206.0,290.0
park county,co,124.0617828,5103.0,4880.0,10.0,9770.0
dewey county,ok,123.8645747,324.0,1085.0,-762.0,1408.0
kendall county,il,123.1692194,13655.0,12602.0,132.0,25336.0
christian county,il,122.4561199,17817.0,16833.0,142.0,33808.0
yoakum county,tx,122.1896383,207.0,368.0,-161.0,575.0
garfield county,co,122.159785,9361.0,8505.0,-627.0,16383.0
wilkin county,mn,122.0070154,292.0,409.0,-119.0,699.0
morris county,ks,121.9299774,24248.0,27620.0,-6655.0,48585.0
marathon county,wi,121.8467537,5873.0,7685.0,-1945.0,13425.0
tyrrell county,nc,121.6841081,424.0,297.0,127.0,721.0
grafton county,nh,121.6124246,8864.0,6972.0,1138.0,15082.0
midland county,mi,121.5457763,19421.0,18867.0,-901.0,36833.0
wyoming county,ny,120.3919963,3976.0,5099.0,-1210.0,8988.0
nodaway county,mo,120.3731568,3166.0,1748.0,1331.0,4827.0
ballard county,ky,120.0192031,335.0,496.0,-164.0,828.0
evans county,ga,120.0036924,743.0,1063.0,-325.0,1801.0
patrick county,va,119.7735192,765.0,441.0,324.0,1206.0
alfalfa county,ok,119.7195143,451.0,717.0,-277.0,1157.0
baxter county,ar,119.6376688,2340.0,2137.0,116.0,4390.0
sublette county,wy,119.510009,685.0,560.0,109.0,1229.0
hood river county,or,119.0738699,1202.0,1878.0,-866.0,2890.0
callahan county,tx,118.2994455,654.0,617.0,37.0,1271.0
minidoka county,id,118.2732111,1990.0,1028.0,850.0,2906.0
niobrara county,wy,118.0637544,233.0,319.0,-86.0,552.0
rockingham county,nh,118.0073144,25955.0,25826.0,-980.0,50672.0
hand county,sd,117.959304,99.0,175.0,-81.0,269.0
schley county,ga,117.9013559,266.0,434.0,-175.0,693.0
augusta county,va,117.7075441,5472.0,4486.0,744.0,9716.0
oconee county,ga,117.5260761,9116.0,5007.0,3935.0,13949.0
dakota county,mn,117.5004712,28581.0,27865.0,-1308.0,54422.0
wetzel county,wv,117.2549988,570.0,652.0,-103.0,1201.0
major county,ok,117.1417415,556.0,467.0,74.0,1008.0
shenandoah county,va,117.1399119,2990.0,2535.0,51.0,5121.0
bullitt county,ky,117.1051604,4113.0,5030.0,-1023.0,9037.0
pacific county,wa,117.0845936,1478.0,1161.0,289.0,2611.0
meeker county,mn,116.7870583,1088.0,1087.0,-36.0,2138.0
custer county,co,116.6861144,5176.0,5398.0,-449.0,10347.0
wilkinson county,ga,116.6242578,733.0,1036.0,-314.0,1758.0
starke county,in,116.3943613,1094.0,1413.0,-337.0,2489.0
freeborn county,mn,116.3241567,1512.0,1355.0,32.0,2742.0
miami county,in,116.2147205,10775.0,10037.0,120.0,20194.0
barren county,ky,116.2061031,2374.0,2493.0,-141.0,4845.0
nobles county,mn,115.6497201,637.0,1327.0,-755.0,1899.0
skamania county,wa,115.3095618,727.0,867.0,-145.0,1589.0
waseca county,mn,115.1953084,1235.0,1043.0,168.0,2254.0
chenango county,ny,115.1445367,2165.0,2261.0,-163.0,4359.0
klickitat county,wa,115.0196492,1605.0,1519.0,-149.0,2889.0
cerro gordo county,ia,114.7446931,2381.0,1819.0,332.0,3970.0
parker county,tx,114.4805548,10308.0,9903.0,-434.0,19372.0
lincoln county,ar,114.0332122,38827.0,34706.0,2479.0,71891.0
oxford county,me,113.4835973,2518.0,2313.0,150.0,4776.0
santa cruz county,az,113.3253507,22754.0,17584.0,2826.0,37994.0
harris county,ga,113.278021,211235.0,183568.0,-18210.0,348926.0
missaukee county,mi,112.9493057,1016.0,1116.0,-135.0,2097.0
new kent county,va,112.7800277,2428.0,732.0,1696.0,3160.0
faribault county,mn,112.747516,669.0,751.0,-101.0,1401.0
kittitas county,wa,112.5344188,7787.0,3253.0,4330.0,10836.0
windsor county,vt,112.3655626,3438.0,3512.0,-232.0,6792.0
nelson county,ky,112.2586439,2352.0,2867.0,-556.0,5178.0
pickaway county,oh,111.8925831,4680.0,4990.0,-375.0,9605.0
daniels county,mt,111.6694584,43.0,210.0,-167.0,253.0
bandera county,tx,111.6450658,1690.0,1355.0,184.0,2894.0
hanover county,va,111.5168262,7116.0,5591.0,1355.0,12537.0
cabarrus county,nc,111.0956812,15088.0,14923.0,-391.0,29455.0
gaines county,tx,110.9877913,707.0,988.0,-332.0,1644.0
waushara county,wi,110.9786674,1571.0,1814.0,-254.0,3374.0
st. lawrence county,ny,110.7508731,6238.0,3759.0,2171.0,9689.0
buffalo county,ne,110.6633537,5096.0,4236.0,697.0,9169.0
parmer county,tx,110.3863522,614.0,408.0,206.0,1022.0
dawes county,ne,110.0352113,1048.0,727.0,321.0,1775.0
rice county,ks,109.879133,6328.0,5585.0,241.0,11411.0
sac county,ia,109.224506,484.0,444.0,13.0,901.0
tripp county,sd,109.1305929,220.0,265.0,-69.0,461.0
sweet grass county,mt,109.0215318,319.0,201.0,100.0,502.0
waupaca county,wi,109.0178828,2777.0,2448.0,294.0,5190.0
cheboygan county,mi,108.8393065,1462.0,1503.0,-63.0,2943.0
cedar county,ia,108.7370195,1843.0,2595.0,-777.0,4413.0
sherburne county,mn,108.6980634,8129.0,7584.0,90.0,15258.0
wadena county,mn,108.6641553,715.0,707.0,-16.0,1398.0
gove county,ks,108.3423619,115.0,112.0,3.0,227.0
watonwan county,mn,107.748945,238.0,547.0,-338.0,756.0
brewster county,tx,107.6889942,958.0,1209.0,-269.0,2149.0
poquoson city,va,107.4025116,1210.0,889.0,78.0,1856.0
whitman county,wa,107.3652566,9539.0,5788.0,2775.0,14351.0
barnes county,nd,107.2386059,805.0,1091.0,-299.0,1883.0
gogebic county,mi,106.8107565,646.0,662.0,-38.0,1286.0
coos county,nh,106.2599619,7461.0,5615.0,1612.0,12842.0
cheyenne county,co,105.8201058,791.0,1082.0,-314.0,1850.0
vinton county,oh,105.4534498,664.0,555.0,88.0,1198.0
brooke county,wv,105.3208072,1643.0,958.0,656.0,2572.0
hoke county,nc,105.2180352,6145.0,4558.0,1166.0,10282.0
porter county,in,105.0691355,10286.0,9114.0,798.0,19026.0
delta county,co,104.9765443,4236.0,4274.0,-166.0,8382.0
lynn county,tx,104.8401188,658.0,404.0,250.0,1058.0
mchenry county,il,104.7464453,14687.0,16979.0,-2818.0,31140.0
ocean county,nj,104.2141601,24851.0,20262.0,3189.0,43713.0
bristol bay borough,ak,104.1666667,93.0,78.0,14.0,170.0
clackamas county,or,104.0531804,30128.0,27288.0,1114.0,55690.0
albemarle county,va,103.8834951,13547.0,10479.0,2244.0,23202.0
republic county,ks,103.7344398,183.0,99.0,84.0,282.0
lasalle county,il,103.4024763,4742.0,6259.0,-1582.0,10936.0
ashe county,nc,103.1269567,646.0,1045.0,-504.0,1586.0
chouteau county,mt,102.5816379,431.0,721.0,-347.0,1095.0
hodgeman county,ks,102.5641026,92.0,149.0,-57.0,241.0
bucks county,pa,102.396264,27434.0,29799.0,-3881.0,55717.0
tipton county,in,102.2364217,4246.0,3736.0,219.0,7691.0
wythe county,va,102.2355507,982.0,941.0,18.0,1900.0
rockwall county,tx,102.0587718,9970.0,6878.0,2450.0,16206.0
boundary county,id,101.3544642,920.0,457.0,423.0,1337.0
sioux county,ia,101.3112571,1906.0,1600.0,205.0,3405.0
bonner county,id,100.7395759,3028.0,2581.0,353.0,5515.0
platte county,mo,100.7394706,13764.0,10593.0,2696.0,23882.0
otter tail county,mn,100.7276706,2894.0,2504.0,315.0,5323.0
barron county,wi,100.7093441,1933.0,2596.0,-755.0,4437.0
trego county,ks,100.6711409,301.0,14.0,282.0,310.0
red willow county,ne,99.94548428,775.0,865.0,-119.0,1611.0
gray county,ks,99.85022466,2047.0,1954.0,70.0,3978.0
castro county,tx,99.626401,201.0,560.0,-363.0,757.0
norton city,va,99.57679861,572.0,180.0,392.0,752.0
james city county,va,99.26825118,6763.0,6140.0,-47.0,12233.0
stephenson county,il,98.41677364,1569.0,2056.0,-549.0,3563.0
pickett county,tn,98.23182711,345.0,354.0,-9.0,699.0
king and queen county,va,98.17671809,417.0,576.0,-159.0,993.0
hendricks county,in,98.12904945,13873.0,11275.0,2226.0,24776.0
centre county,pa,97.81020958,20196.0,10681.0,7372.0,28734.0
texas county,mo,97.51911375,2323.0,2681.0,-604.0,4758.0
pembina county,nd,97.47945969,478.0,451.0,2.0,904.0
armstrong county,pa,96.90633856,1784.0,3177.0,-1426.0,4928.0
choctaw county,al,96.82705199,1694.0,1947.0,-296.0,3598.0
rosebud county,mt,96.47336263,331.0,553.0,-222.0,884.0
grayson county,ky,96.16494211,11128.0,8041.0,2620.0,18702.0
mellette county,sd,96.10764056,73.0,65.0,8.0,138.0
pendleton county,ky,96.08785175,1345.0,1388.0,-44.0,2732.0
todd county,ky,95.97696553,2169.0,1921.0,83.0,3925.0
